time;PWV APEX;PWV UCSC;Humedad;Temperatura
1689217260;0.522665256;0.487375211;42.34;-9.914444444
1689228060;0.432216817;0.404069839;7.452777778;-9.693333333
1689238860;0.518382083;0.487264822;5.162777778;-9.344444444
1689249660;0.667814528;0.618987122;3.883333333;-9.332777778
1689260460;0.847752628;0.790545511;3.543888889;-5.886666667
1689271260;0.705366483;0.634616933;5.041666667;-2.514444444
1689282060;0.671253361;0.617366844;7.376666667;-2.076666667
1689292860;0.573863883;0.519748456;7.871666667;-5.097777778
1689303660;0.544878978;0.463761017;9.657777778;-7.879444444
1689314460;0.724205428;0.556357117;9.881666667;-7.33
1689325260;0.769342333;0.612704828;8.892222222;-7.323333333
1689336060;0.778381544;0.617566156;10.59;-7.64
1689346860;0.861800444;0.680265583;9.345555556;-4.744444444
1689357660;0.826046428;0.685729644;5.721111111;-2.097777778
1689368460;0.800056583;0.654946906;4.287222222;-1.858888889
1689379260;1.008508533;0.832378117;8.823333333;-5.317222222
1689390060;0.999994578;0.784157194;14.81666667;-8.124444444
1689400860;0.941839489;0.730713067;10.56055556;-8.373888889
1689411660;0.88824165;0.696622433;8.655555556;-8.625
1689422460;1.146126017;0.969281028;9.004444444;-9.151666667
1689433260;1.077560706;0.910127028;6.96;-5.921666667
1689444060;1.106237094;0.940096817;4.283333333;-2.846666667
1689454860;1.2229547;1.169315711;6.925555556;-3.058333333
1689465660;1.174628528;1.102605439;10.11722222;-6.302777778
1689476460;1.238149856;1.010184811;13.04222222;-7.160555556
1689487260;1.269160078;1.095226117;6.602222222;-7.179444444
1689498060;1.176143417;1.03994;4.630555556;-7.567222222
1689508860;1.111976011;0.96967595;3.329444444;-7.735555556
1689519660;1.145798872;1.008983478;3.926111111;-4.576111111
1689530460;1.163093156;1.084100033;5.116666667;-1.747777778
1689541260;1.406168333;1.278658394;12.10277778;-2.521666667
1689552060;1.3892479;1.319172472;21.49388889;-6.488888889
1689562860;1.256369683;1.101617928;25.38777778;-7.911111111
1689573660;1.121670622;0.912820661;26.51444444;-8.762222222
1689584460;1.176932933;0.964376067;22.67388889;-9.826111111
1689595260;1.392404383;1.239970361;18.97055556;-9.616111111
1689606060;1.556065156;1.434235233;18.92944444;-6.216666667
1689616860;1.2058442;1.126732806;12.39777778;-3.764444444
1689627660;1.148483539;1.057912317;16.44555556;-3.426666667
1689638460;1.013353961;0.87454245;22.57833333;-5.982222222
1689649260;0.500422572;0.411914139;20.73944444;-8.286111111
1689660060;0.334229467;0.238283;14.88055556;-8.170555556
1689670860;0.3388531;0.228847378;7.081666667;-7.273888889
1689681660;0.410856711;0.335111883;4.675;-7.065555556
1689692460;0.712450678;0.5795795;3.966666667;-3.929444444
1689703260;0.838810839;0.696140628;2.706666667;-0.750555556
1689714060;0.927820044;0.778153483;3.287777778;-0.885
1689724860;1.090846167;0.926963172;6.243333333;-4.582777778
1689735660;1.134386606;0.934838661;9.448888889;-7.155555556
1689746460;1.3093151;1.124880956;8.720555556;-7.332777778
1689757260;1.675559389;1.507825506;6.468333333;-7.257222222
1689768060;1.940761494;1.762920878;4.293888889;-5.251111111
1689778860;2.213167433;1.918883506;10.21555556;-1.233333333
1689789660;2.363423906;2.027973117;12.69833333;1.837222222
1689800460;2.237507089;1.9374265;12.48888889;1.260555556
1689811260;1.931711311;1.717801989;14.03944444;-1.273333333
1689822060;1.985842422;1.742915311;14.14555556;-3.449444444
1689832860;2.032288989;1.793289606;19.32555556;-3.888888889
1689843660;1.963253983;1.753083339;24.505;-3.617777778
1689854460;1.941427556;1.733674044;22.85666667;-3.267222222
1689865260;1.803129967;1.636558883;20.68277778;0.178333333
1689876060;1.708301367;1.591409156;14.22611111;3.277777778
1689886860;1.701793206;1.592616056;13.11388889;3.466111111
1689897660;1.653085383;1.530717061;15.91666667;0.367222222
1689908460;1.6525715;1.474947794;16.26833333;-1.142222222
1689919260;1.801038533;1.628388778;17.08333333;-1.408888889
1689930060;1.652296272;1.548466283;18.18222222;-1.71
1689940860;1.556270906;1.5236501;18.14555556;-2.614444444
1689951660;1.686738439;1.597712306;15.02;0.59
1689962460;1.643373733;1.624317433;13.69166667;2.456666667
1689973260;1.731703678;1.589360728;13.80833333;1.696666667
1689984060;1.626981878;1.544137844;16.53555556;-1.612222222
1689994860;1.567810161;1.457576078;19.98277778;-4.512222222
1690005660;1.742448883;1.598795961;21.05055556;-5.348333333
1690016460;1.703081478;1.595383311;18.48611111;-3.718333333
1690027260;1.615400189;1.532286783;25.08388889;-3.862777778
1690038060;1.154610044;1.08433225;22.54666667;-1.524444444
1690048860;0.982887444;0.886673589;16.44444444;1.559444444
1690059660;1.026218983;0.969210061;15.05055556;1.561111111
1690070460;1.368249017;1.279878344;22.89388889;-2.207222222
1690081260;0.91106645;0.753686361;22.35333333;-2.691666667
1690092060;0.634138622;0.533527483;7.961111111;-1.691666667
1690102860;0.565937806;0.484747078;6.985;-1.848888889
1690113660;0.565254089;0.482380728;7.059444444;-1.696666667
1690124460;0.61610665;0.536474983;6.012222222;0.598888889
1690135260;0.761921144;0.655984928;4.689444444;2.931111111
1690146060;0.704344139;0.634915333;4.895;2.192222222
1690156860;0.780149517;0.687121678;11.96111111;-1.569444444
1690167660;0.677582078;0.554006539;17.93333333;-3.5
1690178460;0.583665783;0.470969039;13.12;-4.607222222
1690189260;0.538546039;0.446176806;19.69777778;-6.566111111
